is scheming, and
laughs in your face, and
snorts while laughing, and
sets something on fire, and
uncovers a revenge plot, and
breaks gravity, and
makes an origami crane, and
hits the target, and
has their first kiss, and
writes your favourite bible verse, and
paints the lady in the painting, and 
dishes it out with the girls, and
reads your favourite book, and
vibechecks you, and
has a hard time understanding, and
makes an offer you can't refuse, and
vexes the neighbours, and
crunches the other leaves, and
flaps a huge arm, and
dances really well, actually, and
creams their knickers, and
alienates the little nerd baby, and
denies your request, and
hovers behind you, and
throws a dagger, and
has their second birthday, and
looks after a tadpole, and
raises a baby cactus, and
eats (in french), and
wins a basketball game, and
makes their first friend, and
hacks the mainframe, and
solves world hunger, poverty, and climate change, and
listens to jazz, and
plays a violin recital, and
falls in love, and
builds a home for their family, and
gets married, and
is coronated, and
indulges in a guilty pleasure, and
snoozes on a nearby rock, and
hijacks your wedding, and
corrects your punctuation errors, and
drives miles in a broken car, and
smells the roses, and
takes a walk on the beach, and
makes inappropriate gestures, and
cancels you on twitter dot com, and
ooga boogas, and 
meets an immoveable object, and
meets an unstoppable force, and 
has a movie night, and 
sleeps in until noon, and 
watches the rain from the window, and 
shivers from the cold, and 
curls up by the fire, and 
burns their marshmallows, and 
listens to say so, and 
